TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
44,0,4,13,100.0,91.66666666666666,100.0,93.44262295081968
32,1,4,22,96.96969696969697,88.88888888888889,95.65217391304348,91.52542372881356
43,0,8,19,100.0,84.31372549019608,100.0,88.57142857142857
27,2,1,23,93.10344827586206,96.42857142857143,92.0,94.33962264150944
15,0,7,15,100.0,68.18181818181817,100.0,81.08108108108108
13,0,4,11,100.0,76.47058823529412,100.0,85.71428571428571
23,1,9,11,95.83333333333334,71.875,91.66666666666666,77.27272727272727
41,3,6,14,93.18181818181817,87.2340425531915,82.35294117647058,85.9375
19,0,3,13,100.0,86.36363636363636,100.0,91.42857142857143
22,0,2,19,100.0,91.66666666666666,100.0,95.34883720930233
20,3,0,16,86.95652173913044,100.0,84.21052631578947,92.3076923076923
21,1,3,17,95.45454545454545,87.5,94.44444444444444,90.47619047619048
34,0,5,15,100.0,87.17948717948718,100.0,90.74074074074075
45,0,4,14,100.0,91.83673469387756,100.0,93.65079365079364
24,1,6,17,96.0,80.0,94.44444444444444,85.41666666666666
12,1,3,24,92.3076923076923,80.0,96.0,90.0
18,0,1,14,100.0,94.73684210526315,100.0,96.96969696969697
21,0,2,19,100.0,91.30434782608695,100.0,95.23809523809523
41,0,0,16,100.0,100.0,100.0,100.0
73,0,0,10,100.0,100.0,100.0,100.0
25,1,8,16,96.15384615384616,75.75757575757575,94.11764705882352,82.0
33,1,4,18,97.05882352941177,89.1891891891892,94.73684210526315,91.07142857142857
39,2,3,19,95.1219512195122,92.85714285714286,90.47619047619048,92.06349206349206
32,0,5,15,100.0,86.48648648648648,100.0,90.38461538461539
22,0,5,21,100.0,81.48148148148148,100.0,89.58333333333334
42,0,8,18,100.0,84.0,100.0,88.23529411764706
26,2,3,26,92.85714285714286,89.65517241379311,92.85714285714286,91.22807017543859
59,0,10,15,100.0,85.5072463768116,100.0,88.09523809523809
22,0,7,38,100.0,75.86206896551724,100.0,89.55223880597015
37,1,12,17,97.36842105263158,75.51020408163265,94.44444444444444,80.59701492537313
24,0,4,25,100.0,85.71428571428571,100.0,92.45283018867924
41,0,6,22,100.0,87.2340425531915,100.0,91.30434782608695
68,0,2,13,100.0,97.14285714285714,100.0,97.59036144578313
22,1,10,20,95.65217391304348,68.75,95.23809523809523,79.24528301886792
29,0,1,18,100.0,96.66666666666667,100.0,97.91666666666666
54,1,9,19,98.18181818181819,85.71428571428571,95.0,87.95180722891565
45,3,5,20,93.75,90.0,86.95652173913044,89.04109589041096
36,0,15,16,100.0,70.58823529411765,100.0,77.61194029850746
