376,307,458,392
686,763,765,843
228,27,310,108
438,0,523,75
734,165,803,233
225,619,294,687
124,462,188,531
882,404,946,473
903,107,972,179
291,132,359,202
60,644,136,724
848,218,915,284
133,106,203,177
742,865,814,934
618,317,691,396
108,560,173,627
212,508,277,574
720,239,784,302
655,848,730,920
208,277,283,347
351,835,411,896
470,612,540,682
719,43,787,116
709,364,772,429
223,879,301,954
359,670,430,738
7,872,63,948
520,123,586,187
654,60,709,117
352,50,432,124
775,321,838,385
170,418,231,480
