TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
28,1,9,22,96.55172413793103,75.67567567567568,95.65217391304348,83.33333333333334
51,1,5,18,98.07692307692307,91.07142857142857,94.73684210526315,92.0
59,1,12,16,98.33333333333333,83.09859154929578,94.11764705882352,85.22727272727273
62,4,10,14,93.93939393939394,86.11111111111111,77.77777777777779,84.44444444444444
37,2,4,14,94.87179487179486,90.2439024390244,87.5,89.47368421052632
30,14,6,24,68.18181818181817,83.33333333333334,63.1578947368421,72.97297297297297
45,3,13,18,93.75,77.58620689655173,85.71428571428571,79.74683544303798
54,1,2,17,98.18181818181819,96.42857142857143,94.44444444444444,95.94594594594594
54,0,3,13,100.0,94.73684210526315,100.0,95.71428571428572
43,2,5,18,95.55555555555556,89.58333333333334,90.0,89.70588235294117
16,1,4,18,94.11764705882352,80.0,94.73684210526315,87.17948717948718
52,3,4,17,94.54545454545455,92.85714285714286,85.0,90.78947368421053
43,0,12,24,100.0,78.18181818181819,100.0,84.81012658227847
37,0,4,29,100.0,90.2439024390244,100.0,94.28571428571428
29,1,4,22,96.66666666666667,87.87878787878788,95.65217391304348,91.07142857142857
9,2,4,10,81.81818181818183,69.23076923076923,83.33333333333334,76.0
24,2,0,15,92.3076923076923,100.0,88.23529411764706,95.1219512195122
39,1,0,21,97.5,100.0,95.45454545454545,98.36065573770492
24,0,2,27,100.0,92.3076923076923,100.0,96.22641509433963
3,1,0,8,75.0,100.0,88.88888888888889,91.66666666666666
28,1,4,17,96.55172413793103,87.5,94.44444444444444,90.0
44,2,10,23,95.65217391304348,81.48148148148148,92.0,84.81012658227847
38,1,18,22,97.43589743589743,67.85714285714286,95.65217391304348,75.9493670886076
49,2,18,15,96.07843137254902,73.13432835820896,88.23529411764706,76.19047619047619
53,0,1,18,100.0,98.14814814814815,100.0,98.61111111111111
34,0,2,24,100.0,94.44444444444444,100.0,96.66666666666667
50,0,6,13,100.0,89.28571428571429,100.0,91.30434782608695
36,0,7,18,100.0,83.72093023255815,100.0,88.52459016393442
