TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
51,1,16,34,98.07692307692307,76.11940298507463,97.14285714285714,83.33333333333334
51,1,27,28,98.07692307692307,65.38461538461539,96.55172413793103,73.83177570093457
53,0,20,10,100.0,72.6027397260274,100.0,75.90361445783132
62,1,18,5,98.4126984126984,77.5,83.33333333333334,77.90697674418605
57,3,14,21,95.0,80.28169014084507,87.5,82.10526315789474
36,0,36,3,100.0,50.0,100.0,52.0
