623,351,717,446
409,418,502,510
189,237,282,341
373,182,470,278
256,762,341,853
511,390,611,494
411,73,499,160
406,614,494,706
19,340,114,435
163,36,254,125
313,11,406,104
591,510,678,603
827,481,913,570
466,504,553,590
400,307,496,406
213,532,295,611
690,10,771,89
18,8,98,85
12,244,98,334
231,102,318,187
123,366,213,455
95,243,182,340
181,713,257,791
743,246,817,325
549,589,634,673
460,255,541,338
77,495,170,594
120,644,196,722
234,444,312,528
270,170,351,253
63,71,143,149
612,868,692,950
440,2,525,80
288,241,363,322
64,133,148,220
682,905,761,977
25,692,114,773
513,214,590,295
875,3,959,64
617,95,688,168
508,905,579,978
536,139,615,214
845,152,918,223
166,431,241,506
249,5,325,66
693,109,771,187
