771,336,874,443
271,140,370,246
583,68,682,184
504,395,601,494
356,202,450,311
675,521,777,622
673,891,767,988
894,247,982,340
61,303,153,403
647,221,738,317
791,461,880,552
627,665,736,783
50,877,141,973
527,704,620,803
478,499,571,602
921,758,999,850
428,735,515,826
494,279,577,369
518,574,616,674
802,253,889,342
773,867,852,955
587,803,672,888
107,686,200,785
687,311,774,399
667,114,749,208
692,812,777,900
871,390,958,484
798,123,885,219
790,712,874,800
726,175,813,265
807,632,886,711
685,450,764,525
55,220,139,304
791,540,875,629
37,745,124,827
20,814,80,891
150,589,224,669
4,170,52,263
