889,658,983,754
605,420,705,524
876,766,980,868
185,256,287,354
764,571,858,672
567,274,660,367
128,782,219,879
514,362,618,467
69,196,156,284
141,539,236,643
781,894,878,987
835,402,917,492
790,89,874,177
455,457,545,549
297,587,386,682
570,155,657,242
769,783,860,873
836,209,925,302
493,556,579,650
171,110,259,203
394,557,487,661
667,704,767,808
212,409,304,508
449,105,542,200
298,461,389,558
251,890,343,990
61,69,164,172
451,240,545,333
22,725,114,813
773,682,859,775
370,433,455,524
278,20,363,107
703,494,788,583
26,604,125,698
763,307,847,393
266,213,351,300
359,181,449,270
676,28,767,117
843,514,924,601
315,790,401,879
633,795,718,882
234,532,321,625
22,451,126,549
145,333,238,428
108,663,198,761
621,920,713,998
493,662,572,745
417,828,503,914
186,709,266,798
645,337,719,412
529,846,626,942
20,285,106,368
39,361,133,450
218,158,302,240
366,72,446,157
160,891,239,972
632,595,713,683
677,147,751,222
903,134,974,212
890,259,968,345
861,846,947,935
417,12,492,83
931,506,999,595
930,895,1000,991
578,523,658,607
682,873,759,948
