291,810,393,918
206,736,308,845
735,286,834,393
763,575,863,684
33,157,136,267
401,780,505,890
760,181,852,272
591,18,690,121
372,70,479,180
315,700,421,809
716,792,814,894
838,657,935,758
89,351,190,452
820,771,915,864
144,131,250,244
516,745,621,853
674,94,774,198
786,466,889,576
84,876,186,982
345,584,453,701
426,664,537,776
286,1,389,103
387,890,486,988
562,127,670,241
705,4,802,98
64,59,158,157
179,36,274,129
537,233,640,339
401,373,501,479
493,854,606,967
485,447,591,562
187,850,288,950
122,251,217,351
656,610,755,715
714,396,805,491
738,691,833,784
114,661,213,762
677,495,778,604
550,643,648,744
573,527,677,635
633,723,728,816
510,344,616,457
794,869,900,969
817,368,915,464
294,413,393,511
265,515,370,620
461,563,566,672
652,213,750,309
197,314,303,421
605,421,705,525
140,542,248,655
630,319,727,418
378,483,476,583
