384,893,481,985
659,615,758,715
757,174,858,275
732,283,840,391
572,529,677,633
671,94,785,201
840,658,943,768
508,346,619,453
540,234,646,340
485,450,595,558
792,74,876,172
313,697,422,807
786,468,894,572
678,500,785,604
656,208,751,303
586,18,691,127
407,375,501,476
402,777,510,884
631,319,725,419
5,680,116,796
554,646,646,741
347,589,454,696
512,742,620,852
209,737,310,843
491,851,591,959
290,808,397,913
463,567,568,668
700,9,810,92
82,876,186,982
95,353,182,448
741,691,836,787
2,270,112,376
712,397,807,493
431,663,548,776
899,444,995,544
763,576,871,682
114,656,218,761
435,265,528,366
566,128,675,239
204,314,302,421
228,614,332,725
718,796,814,898
337,178,455,294
68,57,158,154
30,159,146,271
609,431,703,526
819,364,914,462
178,31,267,128
187,843,285,945
273,932,372,999
874,552,966,649
143,134,249,243
368,66,483,184
639,719,730,817
907,833,1000,941
0,923,73,994
823,763,919,863
576,934,678,1000
140,543,245,652
298,417,384,507
285,13,381,86
381,490,475,588
7,806,108,907
125,252,210,341
265,508,362,614
230,217,319,310
0,385,84,478
465,160,551,258
927,738,1000,833
916,346,997,440
847,259,927,348
