93,856,159,925
788,457,866,528
800,314,879,388
194,809,278,890
300,246,387,331
571,876,648,949
884,516,967,596
641,569,714,642
705,180,775,259
534,756,616,838
405,372,486,448
258,66,335,141
237,439,322,528
923,725,1000,818
681,808,758,893
63,674,138,752
545,5,630,90
205,644,296,736
404,37,484,113
204,168,282,250
371,859,459,949
141,271,218,350
284,342,364,419
289,535,373,618
573,253,654,334
810,719,888,795
79,133,156,208
808,3,900,46
5,910,57,999
688,11,771,93
17,756,81,842
731,89,818,169
622,704,696,784
908,264,991,341
762,537,837,616
817,834,895,913
399,125,470,195
179,39,252,112
894,616,981,702
105,36,179,108
302,626,387,711
869,149,947,223
542,564,614,633
797,191,876,266
329,754,415,847
285,924,374,1000
587,85,662,159
501,650,585,736
465,277,534,345
612,165,688,235
883,626,967,712
60,909,143,989
7,277,53,371
0,282,70,358
306,757,387,838
740,858,806,926
872,640,948,714
569,621,638,690
939,388,1000,457
