0,292,107,413
119,163,229,272
186,737,305,856
864,424,954,525
299,303,406,409
362,11,459,83
245,524,352,629
598,315,687,416
831,144,934,248
443,68,556,177
728,174,831,275
530,129,643,243
335,98,447,209
231,124,335,229
485,349,594,457
553,921,658,992
649,16,775,101
53,487,157,590
542,523,649,630
619,214,716,315
209,235,318,343
567,417,670,523
434,553,543,660
703,280,803,382
131,554,246,670
275,421,378,522
602,704,716,815
409,276,505,381
816,636,916,735
726,558,840,666
404,661,524,777
782,351,885,456
30,589,141,700
650,492,755,593
83,781,195,894
682,775,792,873
196,349,290,444
331,595,433,697
252,927,359,998
142,55,250,160
502,738,603,833
49,4,168,88
359,491,458,587
861,42,961,141
370,874,470,974
886,316,975,409
916,215,997,316
751,69,855,173
178,852,278,953
501,243,614,351
926,596,995,700
760,462,855,552
684,393,779,487
814,256,898,341
215,629,332,740
892,697,996,804
708,666,814,767
246,22,359,133
626,598,733,698
17,706,113,809
380,771,497,881
109,665,223,777
661,879,773,990
849,539,935,624
156,444,263,554
67,893,168,984
469,464,560,553
475,837,582,941
835,905,945,1000
468,5,571,55
51,98,132,186
867,802,966,902
794,740,893,835
280,811,372,909
0,418,86,513
112,280,206,366
